,simulation,subset,run,timestep,prices,trades,substep,index_price,basket_price
0,0,0,1,0,"Prices(index_price=100.0, basket_price=100.0)",,0,100.0,100.0
1,0,0,1,1,"Prices(index_price=110.87138625391076, basket_price=109.82026172983832)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,110.87138625391076,109.82026172983832
2,0,0,1,2,"Prices(index_price=112.53772595362811, basket_price=113.1157328149352)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,112.53772595362811,113.1157328149352
3,0,0,1,3,"Prices(index_price=120.17727276104154, basket_price=119.78242335838121)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,120.17727276104154,119.78242335838121
4,0,0,1,4,"Prices(index_price=138.09089885008862, basket_price=134.40122848634834)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,138.09089885008862,134.40122848634834
5,0,0,1,5,"Prices(index_price=153.26420217395852, basket_price=148.2953451784944)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,153.26420217395852,148.2953451784944
6,0,0,1,6,"Prices(index_price=154.88997901111094, basket_price=142.53201060370037)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,154.88997901111094,142.53201060370037
7,0,0,1,7,"Prices(index_price=154.4964371130428, basket_price=150.72823132979786)","Trades(arbitrage=True, momentum_buy=True, momentum_sell=False)",3,154.4964371130428,150.72823132979786
8,0,0,1,8,"Prices(index_price=157.7593612245826, basket_price=151.09482342780944)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,157.7593612245826,151.09482342780944
9,0,0,1,9,"Prices(index_price=165.7596044512347, basket_price=151.8259799527791)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,165.7596044512347,151.8259799527791
10,0,0,1,10,"Prices(index_price=156.46121574850372, basket_price=156.46121574850372)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=False)",3,156.46121574850372,156.46121574850372
11,0,0,1,11,"Prices(index_price=162.04023942007296, basket_price=159.15268951921811)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,162.04023942007296,159.15268951921811
12,0,0,1,12,"Prices(index_price=175.81410609378065, basket_price=172.31679341089543)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,175.81410609378065,172.31679341089543
13,0,0,1,13,"Prices(index_price=186.7212267613753, basket_price=180.59694036810697)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,186.7212267613753,180.59694036810697
14,0,0,1,14,"Prices(index_price=198.1024318610515, basket_price=183.50161655668023)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,198.1024318610515,183.50161655668023
15,0,0,1,15,"Prices(index_price=194.14434160316975, basket_price=189.40911375919)","Trades(arbitrage=True, momentum_buy=True, momentum_sell=False)",3,194.14434160316975,189.40911375919
16,0,0,1,16,"Prices(index_price=205.67232322051214, basket_price=194.46325282838959)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,205.67232322051214,194.46325282838959
17,0,0,1,17,"Prices(index_price=216.20843566372932, basket_price=210.93505918412617)","Trades(arbitrage=True, momentum_buy=True, momentum_sell=False)",3,216.20843566372932,210.93505918412617
18,0,0,1,18,"Prices(index_price=221.55110213139162, basket_price=210.88065625048984)","Trades(arbitrage=False, momentum_buy=True, momentum_sell=False)",3,221.55110213139162,210.88065625048984
19,0,0,1,19,"Prices(index_price=216.29045893174347, basket_price=216.29045893174347)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=False)",3,216.29045893174347,216.29045893174347
20,0,0,1,20,"Prices(index_price=212.2431796186224, basket_price=209.21672554980006)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,212.2431796186224,209.21672554980006
