t,Arbitrage,Momentum Buy,Momentum Sell
2,False,True,False
3,False,True,False
4,False,True,False
5,False,True,False
6,True,True,False
7,False,True,False
8,False,True,False
9,True,False,False
12,False,True,False
13,False,True,False
14,True,True,False
15,False,True,False
16,True,True,False
17,False,True,False
18,True,False,False
20,False,False,True
21,False,False,True
22,False,False,True
23,False,False,True
24,True,False,False
28,False,True,False
29,True,False,False
30,False,True,False
31,False,True,False
32,True,True,False
34,False,False,True
35,False,False,True
36,False,False,True
37,True,False,False
42,False,False,True
43,False,False,True
44,False,False,True
45,False,False,True
46,True,False,True
48,False,False,True
49,True,False,True
50,False,False,True
52,False,False,True
53,True,False,False
62,False,False,True
63,False,False,True
64,False,False,True
65,False,False,True
66,True,False,True
67,False,False,True
68,False,False,True
69,True,False,False
72,False,True,False
73,False,True,False
74,False,True,False
75,True,False,False
77,False,False,True
78,False,False,True
79,True,False,True
80,False,False,True
81,True,False,False
85,False,True,False
86,False,True,False
87,False,True,False
88,False,True,False
89,True,True,False
93,False,True,False
94,False,True,False
95,True,True,False
96,False,True,False
97,True,True,False
98,True,True,False
99,True,True,False
